Date,Open,High,Low,Close,Adj Close,Volume
2011-03-01,86.410004,86.500000,78.800003,84.129997,53.695843,439334000
2011-04-01,84.720001,88.000000,82.379997,87.980003,56.153107,309722400
2011-05-01,88.099998,88.129997,79.419998,83.470001,53.274616,403834500
2011-06-01,83.550003,83.650002,76.720001,81.379997,52.235241,444344200
2011-07-01,81.190002,85.410004,79.760002,79.790001,51.214684,375467600
2011-08-01,80.820000,81.180000,67.029999,74.019997,47.511101,774165900
2011-09-01,74.150002,74.980003,67.930000,72.629997,46.926781,550523400
2011-10-01,72.050003,82.199997,69.209999,78.089996,50.454510,514198800
2011-11-01,75.820000,80.529999,73.900002,80.440002,51.972866,444321100
2011-12-01,80.199997,85.629997,78.660004,84.760002,55.090393,380150300
2012-01-01,85.970001,87.940002,83.459999,83.739998,54.427418,333545900
2012-02-01,84.230003,87.830002,83.190002,86.500000,56.221275,300700700
2012-03-01,86.470001,87.250000,84.050003,86.730003,56.679310,338912600
2012-04-01,86.599998,87.669998,81.879997,86.339996,56.424438,300234500
2012-05-01,86.459999,87.519997,78.410004,78.629997,51.385834,353685200
2012-06-01,77.870003,85.699997,77.129997,85.570000,56.306492,497990800
2012-07-01,85.440002,87.849998,82.830002,86.849998,57.148746,314314800
2012-08-01,87.019997,88.910004,85.500000,87.300003,57.444866,248010000
2012-09-01,87.330002,92.570000,86.519997,91.449997,60.566677,254195800
2012-10-01,91.790001,93.669998,89.680000,91.169998,60.381233,241112300
2012-11-01,90.250000,92.050003,85.059998,88.139999,58.374485,285676100
2012-12-01,88.550003,90.370003,84.699997,86.550003,57.680351,282441200
2013-01-01,87.790001,91.930000,87.239998,89.970001,59.959553,261496700
2013-02-01,90.440002,90.500000,87.610001,89.550003,59.679649,237182000
2013-03-01,89.070000,90.980003,87.900002,90.110001,60.436539,265045600
2013-04-01,90.129997,90.989998,85.019997,88.989998,59.685352,296347200
2013-05-01,88.519997,93.500000,87.480003,90.470001,60.677967,276095000
2013-06-01,90.529999,92.269997,88.019997,90.349998,61.016682,291767600
2013-07-01,90.389999,95.489998,89.959999,93.750000,63.312817,237784200
2013-08-01,92.690002,93.099998,86.389999,87.160004,58.862370,271631600
2013-09-01,87.699997,89.870003,85.610001,86.040001,58.507618,238532800
2013-10-01,85.989998,90.959999,84.790001,89.620003,60.941986,287672200
2013-11-01,89.739998,96.000000,88.269997,93.480003,63.566830,250351200
2013-12-01,93.269997,101.739998,92.919998,101.199997,69.284691,269290800
2014-01-01,100.599998,101.220001,91.699997,92.160004,63.095642,256867500
2014-02-01,91.919998,97.250000,89.250000,96.269997,65.909470,253283700
2014-03-01,95.760002,98.849998,93.010002,97.680000,67.348473,255698300
2014-04-01,97.650002,102.570000,96.239998,102.410004,70.609688,230896100
2014-05-01,101.959999,103.449997,100.320000,100.529999,69.313461,179886600
2014-06-01,100.529999,104.610001,99.589996,100.680000,69.888184,208876600
2014-07-01,101.150002,104.760002,98.930000,98.940002,68.680351,189374200
2014-08-01,98.620003,100.430000,97.629997,99.459999,69.041298,187451500
2014-09-01,99.430000,99.589996,93.620003,94.050003,65.740700,231833300
2014-10-01,94.110001,96.889999,86.910004,96.709999,67.600014,342094700
2014-11-01,96.559998,97.199997,90.110001,90.540001,63.287216,218128400
2014-12-01,90.360001,95.330002,86.190002,92.449997,65.088860,400812400
2015-01-01,92.250000,93.050003,86.029999,87.419998,61.547504,326819500
2015-02-01,87.849998,93.449997,87.500000,88.540001,62.336052,276447700
2015-03-01,88.339996,88.519997,82.680000,85.000000,60.294189,330260500
2015-04-01,85.699997,88.669998,83.809998,87.370003,61.975338,251671200
2015-05-01,87.849998,90.089996,84.769997,85.199997,60.436047,198924100
2015-06-01,85.250000,85.970001,82.800003,83.199997,59.505489,238808600
2015-07-01,83.279999,83.529999,78.930000,79.209999,56.651794,274029000
2015-08-01,78.699997,79.290001,66.550003,75.239998,53.812408,387523600
2015-09-01,73.300003,75.470001,71.510002,74.349998,53.673416,316644500
2015-10-01,75.199997,83.879997,73.029999,82.739998,59.730179,318077700
2015-11-01,82.300003,87.440002,77.910004,81.660004,58.950523,264207900
2015-12-01,81.760002,82.129997,73.790001,77.949997,56.762829,367069000
2016-01-01,77.500000,79.919998,71.550003,77.849998,56.690002,418954700
2016-02-01,76.660004,83.440002,73.550003,80.150002,58.364861,359915800
2016-03-01,80.559998,85.099998,80.309998,83.589996,61.422314,292841700
2016-04-01,82.400002,89.779999,81.989998,88.400002,64.956718,221801200
2016-05-01,88.239998,90.459999,87.230003,89.019997,65.412292,219170200
2016-06-01,88.430000,93.830002,87.610001,93.739998,69.459473,252091800
2016-07-01,93.360001,95.550003,86.120003,88.949997,65.910164,209716200
2016-08-01,88.080002,88.940002,85.580002,87.139999,64.568993,235412300
2016-09-01,86.720001,89.370003,82.290001,87.279999,65.224258,271447100
